q_id,label,given,family,gnd,instance_of,birth,death,dewiki_url,has_dewiki,wikidata_url
Q134510159,Daniel Zander,Daniel,Zander,1225077281,Mensch,1967-01-01,,,False,https://www.wikidata.org/wiki/Q134510159
Q134510160,Urs Zanoni,Urs,Zanoni,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510160
Q134510161,Stefan Zantop,Stefan,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510161
Q134510162,Alfons Zehnder,Alfons,Zehnder,125851200,Mensch,1920-01-01,,,False,https://www.wikidata.org/wiki/Q134510162
Q134510163,Gottlieb Zehnder,Gottlieb,Zehnder,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510163
Q134510164,Bruno Zeller,Bruno,Zeller,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510164
Q134510165,Guido Zeltner,Guido,,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510165
Q134510166,Elisabeth Zeltner-Lüthi,Elisabeth,Lüthi,1172480389,Mensch,1921-01-01,,,False,https://www.wikidata.org/wiki/Q134510166
Q134510167,Isabel Zihlmann,Isabel,Zihlmann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510167
Q134510168,Andreas Zimmerli,Andreas,Zimmerli,125886004,Mensch,1925-11-30,,,False,https://www.wikidata.org/wiki/Q134510168
Q134510169,Jakob Zimmerli,Jakob,Zimmerli,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510169
Q134510170,Beat Zimmermann,Beat,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510170
Q134510171,Caspar Zimmermann,Caspar,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510171
Q134510172,Claus Zimmermann,Claus,Zimmermann,1365904857,Mensch,1942-01-01,,,False,https://www.wikidata.org/wiki/Q134510172
Q134510173,Günter Zimmermann,Günter,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510173
Q134510174,Martin Zimmermann,Martin,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510174
Q134510175,Nadine Zimmermann,Nadine,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510175
Q134510177,Reinhard Zimmermann,Reinhard,Zimmermann,126684731,Mensch,1893-01-01,1960-01-01,,False,https://www.wikidata.org/wiki/Q134510177
Q134510178,Rolf Zimmermann,Rolf,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510178
Q134510179,Ronja Zimmermann,Ronja,Zimmermann,1021403601,Mensch,1996-01-01,,,False,https://www.wikidata.org/wiki/Q134510179
Q134510180,Urs Zimmermann,Urs,Zimmermann,1047362589,Mensch,1964-01-01,,,False,https://www.wikidata.org/wiki/Q134510180
Q134510181,Urs Zimmermann,Urs,Zimmermann,,Mensch,,,,False,https://www.wikidata.org/wiki/Q134510181
Q134716271,Gaia,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716271
Q134716272,Gonoreas,,,1048541274,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716272
Q134716362,Aéd,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716362
Q134716363,AiB & Schpöugroppe,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716363
Q134716365,Al Pride,,,1213044928,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716365
Q134716366,Alles Roger,,,1163573701,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716366
Q134716367,Q134716367,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716367
Q134716368,Bell Baronets,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716368
Q134716369,Bluesaholics,,,1087362288,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716369
Q134716370,Bridge Pipers Jazzband,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716370
Q134716371,Brugglyn Blue,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716371
Q134716372,Chris Regez Band,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716372
Q134716373,Christopher Christopher,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716373
Q134716374,Christopher George & the Sapidity Agents,,,,Musikgruppe,,,,False,https://www.wikidata.org/wiki/Q134716374
